date,open,high,low,close,volume,amount,outstanding_share,turnover
2018-05-08,10.44,12.53,10.44,12.53,29739.0,919703.0,104198556.00000001,0.0002854070261779827
2018-05-09,13.78,13.78,13.78,13.78,20661.0,706813.0,104198556.00000001,0.00019828489753735164
2018-05-10,15.16,15.16,15.16,15.16,8500.0,319855.0,104198556.00000001,8.157502681707027e-05
2018-05-11,16.67,16.67,16.67,16.67,55195.0,2284521.0,104198556.00000001,0.0005297098359021404
2018-05-14,18.34,18.34,18.34,18.34,73713.0,3356153.0,104198556.00000001,0.0007074282296196119
2018-05-15,20.17,20.17,20.17,20.17,89725.0,4493428.0,104198556.00000001,0.0008610963860190154
2018-05-16,22.19,22.19,22.19,22.19,98871.0,5446803.0,104198556.00000001,0.000948871114874183
2018-05-17,24.41,24.41,24.41,24.41,196587.0,11913172.0,104198556.00000001,0.0018866576231632228
2018-05-18,26.85,26.85,26.85,26.85,311615.0,20772256.0,104198556.00000001,0.0029905884684236885
2018-05-21,29.53,29.53,29.53,29.53,176218.0,12922066.0,104198556.00000001,0.001691175067723587
2018-05-22,32.49,32.49,32.49,32.49,259098.0,20898845.0,104198556.00000001,0.0024865795644999147
2018-05-23,35.74,35.74,35.74,35.74,268867.0,23856569.0,104198556.00000001,0.0025803332629676747
2018-05-24,39.31,39.31,39.31,39.31,590152.0,57598835.0,104198556.00000001,0.005663725320723254
2018-05-25,43.24,43.24,43.24,43.24,2535836.0,272247353.0,104198556.00000001,0.02433657525925791
2018-05-28,47.56,47.56,47.56,47.56,2113519.0,249606594.0,104198556.00000001,0.020283572835692654
2018-05-29,52.32,52.32,52.32,52.32,4196101.0,545115481.0,104198556.00000001,0.040270241364957104
2018-05-30,54.41,54.6,48.05,48.48,72523591.0,9293127280.0,104198556.00000001,0.6960133977288513
2018-05-31,50.02,53.3,46.73,52.24,42738509.0,5303637390.0,104198556.00000001,0.4101641197407764
2018-06-01,50.79,54.32,50.14,53.51,32630686.0,4243384086.0,104198556.00000001,0.3131587159422823
2018-06-04,54.93,55.93,48.16,48.69,36227220.0,4643439731.0,104198556.00000001,0.34767487564798877
2018-06-05,47.52,49.02,45.91,48.24,26763623.0,3165880761.0,104198556.00000001,0.25685214869964224
2018-06-06,47.56,50.12,47.14,49.96,25913717.0,3147510073.0,104198556.00000001,0.24869554814176117
2018-06-07,49.54,49.78,47.87,47.94,18632920.0,2250260409.0,104198556.00000001,0.17882128808003825
2018-06-08,47.15,48.91,46.72,47.71,17894569.0,2136303406.0,104198556.00000001,0.1717352877711664
2018-06-11,46.62,46.98,43.09,43.54,25019713.0,2789216634.0,104198556.00000001,0.24011573634475314
2018-06-12,44.14,44.83,42.74,44.22,17399563.0,1896960007.0,104198556.00000001,0.1669846845094475
2018-06-13,43.7,45.03,42.98,43.49,16810346.0,1838222691.0,104198556.00000001,0.16132993244167412
2018-06-14,42.29,43.75,39.98,40.38,24191241.0,2498877599.0,104198556.00000001,0.23216483921331882
2018-06-15,40.54,41.26,39.9,40.49,15404365.0,1554157401.0,104198556.00000001,0.14783664564411045
2018-06-19,39.37,41.22,38.49,39.85,17835774.0,1760329511.0,104198556.00000001,0.17117102851214175
2018-06-20,40.19,41.15,38.73,40.67,17388669.0,1737706370.0,104198556.00000001,0.16688013411625394
2018-06-21,40.6,40.88,36.61,36.81,22405240.0,2149118418.0,104198556.00000001,0.2150244769226936
2018-06-22,35.7,37.11,35.18,36.21,15708505.0,1417519990.0,104198556.00000001,0.150755496074245
2018-06-25,36.29,38.42,36.09,37.46,17428841.0,1619033686.0,104198556.00000001,0.1672656672900534
2018-06-26,36.76,38.66,36.45,38.54,14789749.0,1395317695.0,104198556.00000001,0.14193813779914569
2018-06-27,38.26,38.57,37.29,37.56,10235240.0,961720730.0,104198556.00000001,0.09822823264460592
2018-06-28,37.45,38.13,34.68,34.76,12007147.0,1087189588.0,104198556.00000001,0.11523333394370645
2018-06-29,34.91,38.24,34.76,38.24,12948468.0,1178540832.0,104198556.00000001,0.12426724992235015
2018-07-02,38.22,40.43,37.86,38.83,16647296.0,1616430295.0,104198556.00000001,0.15976513148608315
2018-07-03,39.18,40.04,36.93,38.73,13299803.0,1271789985.0,104198556.00000001,0.12763903369255902
2018-07-04,38.26,38.26,35.88,36.23,11785606.0,1074213029.0,104198556.00000001,0.11310719123593227
2018-07-05,35.84,37.16,35.44,36.22,9854548.0,890483761.0,104198556.00000001,0.09457470792589485
2018-07-06,36.17,39.84,36.17,38.62,19830723.0,1889832325.0,104198556.00000001,0.19031667770904614
2018-07-09,39.09,39.96,38.06,39.74,14561575.0,1416334581.0,104198556.00000001,0.13974833777926823
2018-07-10,40.16,40.88,38.94,39.58,10954645.0,1077582802.0,104198556.00000001,0.1051324070172335
2018-07-11,38.26,39.57,37.9,39.27,11107086.0,1067387409.0,104198556.00000001,0.1065953927422948
2018-07-12,39.27,42.11,38.92,41.35,17625362.0,1773773062.0,104198556.00000001,0.16915169150712606
2018-07-13,40.68,42.45,40.11,41.0,14916502.0,1528387322.0,104198556.00000001,0.14315459419610382
2018-07-16,40.6,41.28,39.39,39.87,9748346.0,970845693.0,104198556.00000001,0.09355548074965644
2018-07-17,39.8,40.23,39.07,39.85,6453182.0,633366871.0,104198556.00000001,0.06193158761240414
2018-07-18,39.85,40.17,37.98,38.04,10592140.0,1023818843.0,104198556.00000001,0.10165342406472502
2018-07-19,37.85,37.86,35.94,36.33,11250482.0,1024515939.0,104198556.00000001,0.10797157304176075
2018-07-20,36.05,37.78,35.97,37.14,8302520.0,761236201.0,104198556.00000001,0.07967979901756027
2018-07-23,34.64,35.84,34.01,35.49,14194263.0,1233492566.0,104198556.00000001,0.13622322174982923
2018-07-24,35.28,36.52,35.08,36.03,8997247.0,801576398.0,104198556.00000001,0.08634713709468295
2018-07-25,36.15,36.95,35.76,35.84,7498398.0,675461477.0,104198556.00000001,0.07196259034530189
2018-07-26,35.85,35.96,34.44,34.76,7123461.0,618575469.0,104198556.00000001,0.06836429671827697
2018-07-27,34.8,35.28,34.39,34.86,4371966.0,379047541.0,104198556.00000001,0.04195802866980229
2018-07-30,34.87,35.03,32.26,33.19,8217859.0,682825774.0,104198556.00000001,0.07886730215340028
2018-07-31,33.02,33.63,32.29,32.69,5586187.0,458274655.0,104198556.00000001,0.05361098286237286
2018-08-01,32.47,32.79,31.22,31.32,8317566.0,658814573.0,104198556.00000001,0.07982419641208846
2018-08-02,31.05,32.0,30.53,31.49,8254174.0,640806280.0,104198556.00000001,0.07921581945914873
2018-08-03,31.29,31.59,30.31,30.34,5365618.0,411694892.0,104198556.00000001,0.05149416849884176
2018-08-06,30.0,30.23,28.69,28.83,7552197.0,552217387.0,104198556.00000001,0.07247890268268208
2018-08-07,29.18,30.99,28.84,30.85,9837000.0,728139054.0,104198556.00000001,0.09440629868229651
2018-08-08,30.57,30.71,29.24,29.38,6492061.0,482440430.0,104198556.00000001,0.06230471178506542
2018-08-09,29.3,32.32,29.02,32.09,13070523.0,1020282513.0,104198556.00000001,0.12543861932213338
2018-08-10,31.82,32.82,31.49,32.23,8549131.0,682639863.0,104198556.00000001,0.08204654006913492
2018-08-13,31.49,32.61,31.45,32.36,5368988.0,427345838.0,104198556.00000001,0.051526510597709234
2018-08-14,32.3,32.82,31.82,31.91,4054735.0,324098805.0,104198556.00000001,0.038913543101307464
2018-08-15,31.94,32.17,30.25,30.42,5980720.0,458687783.0,104198556.00000001,0.05739734051592806
2018-08-16,29.8,30.89,29.44,30.36,3976656.0,299669064.0,104198556.00000001,0.038164214099089815
2018-08-17,30.76,30.84,28.86,28.96,7131098.0,522761056.0,104198556.00000001,0.06843758948060662
2018-08-20,28.97,29.48,28.35,29.39,4743914.0,341871277.0,104198556.00000001,0.04552763667857354
2018-08-21,29.2,32.17,29.18,31.94,10866419.0,836379811.0,104198556.00000001,0.10428569662712023
2018-08-22,33.13,33.87,32.62,33.13,13855117.0,1144352638.0,104198556.00000001,0.13296841656807604
2018-08-23,33.02,36.09,32.76,35.44,13527249.0,1147997757.0,104198556.00000001,0.12982184705131614
2018-08-24,34.92,35.79,34.34,34.59,8658516.0,752094611.0,104198556.00000001,0.08309631469365084
2018-08-27,34.91,36.89,34.64,35.8,11347502.0,1012934498.0,104198556.00000001,0.10890267999491278
2018-08-28,35.45,36.29,35.21,35.58,6592064.0,583310955.0,104198556.00000001,0.06326444677409924
2018-08-29,35.41,36.65,35.04,36.19,7181769.0,639561749.0,104198556.00000001,0.06892388220811811
2018-08-30,35.98,36.23,34.63,35.24,6565853.0,576743871.0,104198556.00000001,0.06301289818258134
2018-08-31,34.87,35.03,34.01,34.03,5453950.0,467327629.0,104198556.00000001,0.05234189617752476
